0	0	8
1	0	8
2	0	8
3	0	8
4	0	8
5	0	8
6	0	8
7	0	8
8	0	8
9	0	8
10	0	8
11	0	8
12	0	8
13	0	8
14	0	8
15	0	8
16	0	8
17	0	8
18	0	8
19	0	8
0	1	1
1	1	3
2	1	3
3	1	2
4	1	1
5	1	2
6	1	2
7	1	1
8	1	1
9	1	1
10	1	3
11	1	3
12	1	1
13	1	1
14	1	1
15	1	2
16	1	1
17	1	1
18	1	1
19	1	1
0	2	3
1	2	2
2	2	3
3	2	3
4	2	2
5	2	3
6	2	2
7	2	3
8	2	3
9	2	3
10	2	3
11	2	1
12	2	3
13	2	3
14	2	2
15	2	3
16	2	2
17	2	3
18	2	3
19	2	2
0	3	10
2	3	10
20	3	10
21	3	10
10	3	10
11	3	10
15	3	10
18	3	10
19	3	10
22	3	10
23	3	7
24	3	10
25	3	10
26	3	10
27	3	10
28	3	10
29	3	10
30	3	10
31	3	10
32	3	10
0	4	7
2	4	7
20	4	7
21	4	7
10	4	7
11	4	7
15	4	7
18	4	7
19	4	7
22	4	7
23	4	7
24	4	7
25	4	7
26	4	7
27	4	7
28	4	7
29	4	7
30	4	7
31	4	7
32	4	7
0	5	10
2	5	6
20	5	6
21	5	6
10	5	6
11	5	6
15	5	6
18	5	6
19	5	6
22	5	6
23	5	6
24	5	6
25	5	6
26	5	6
27	5	6
28	5	6
29	5	6
30	5	6
31	5	8
32	5	6
2	6	8
4	6	8
33	6	8
20	6	8
21	6	8
34	6	8
15	6	8
19	6	8
35	6	8
36	6	8
25	6	8
31	6	8
37	6	8
38	6	8
39	6	8
40	6	8
41	6	8
42	6	8
43	6	8
44	6	8
2	7	6
4	7	6
33	7	6
20	7	6
21	7	6
34	7	6
15	7	6
19	7	6
35	7	6
36	7	6
25	7	6
31	7	6
37	7	6
38	7	6
39	7	6
40	7	6
41	7	6
42	7	6
43	7	6
44	7	6
2	8	8
4	8	8
33	8	8
20	8	8
21	8	8
34	8	8
15	8	8
19	8	8
35	8	8
36	8	8
25	8	8
31	8	8
37	8	8
38	8	8
39	8	8
40	8	8
41	8	8
42	8	8
43	8	8
44	8	8
0	9	4
2	9	4
33	9	4
20	9	4
21	9	4
7	9	4
45	9	4
46	9	4
11	9	4
12	9	4
16	9	4
19	9	7
25	9	4
31	9	4
32	9	4
40	9	4
42	9	4
44	9	4
47	9	4
48	9	4
0	10	8
2	10	8
33	10	8
20	10	8
21	10	8
7	10	8
45	10	8
46	10	8
11	10	6
12	10	8
16	10	8
19	10	8
25	10	8
31	10	8
32	10	8
40	10	8
42	10	8
44	10	8
47	10	8
