0	4
1	1
2	3
6	4
8	4
10	4
14	3
18	5
19	4
21	1
22	0
23	4
27	4
30	0
31	0
33	2
34	2
35	3
37	1
39	3
40	1
42	0
43	0
44	2
45	1
46	0
50	5
52	2
54	3
58	2
59	2
60	5
62	3
63	3
64	2
69	2
70	0
71	4
72	1
74	0
75	1
76	0
79	4
80	0
81	3
83	1
85	2
86	1
89	1
90	3
91	4
92	4
95	1
98	4
99	0
101	4
105	5
108	0
109	2
110	0
114	3
117	5
119	5
120	4
121	1
123	3
125	3
126	4
127	2
128	4
131	0
133	0
134	2
135	3
136	1
137	3
138	3
139	2
141	3
143	4
144	5
145	3
153	5
154	0
155	5
156	3
157	1
159	2
162	2
165	1
168	2
171	0
172	0
173	1
174	4
176	4
177	0
178	3
179	3
181	5
182	3
184	3
186	3
187	0
189	0
191	4
192	2
193	1
195	4
201	5
203	2
207	0
209	4
210	0
211	3
214	2
215	5
219	1
222	3
225	0
226	1
227	3
230	5
231	0
232	4
233	0
234	0
235	0
236	3
239	4
240	5
243	1
246	4
247	3
248	0
250	2
252	5
254	2
256	5
257	0
258	3
261	5
263	3
264	3
265	1
266	2
270	2
272	4
274	0
281	0
282	1
283	1
284	5
285	5
288	1
289	0
290	3
294	1
297	3
299	2
300	0
302	4
304	0
306	5
309	5
310	1
311	5
312	3
314	0
316	4
318	0
319	1
322	1
324	5
325	3
327	5
328	3
330	5
335	5
338	0
339	0
340	3
342	3
343	5
345	1
346	5
348	2
349	0
350	4
351	1
352	5
353	4
356	1
357	4
360	5
362	1
363	4
368	4
373	1
375	2
378	4
379	4
380	3
381	1
382	2
383	4
385	1
386	0
393	4
394	3
395	1
396	2
398	2
400	4
401	0
402	3
406	4
407	1
409	1
412	0
413	5
414	5
415	0
417	3
419	1
421	5
422	4
423	0
427	0
431	1
433	5
435	1
436	2
437	1
438	2
440	5
441	4
442	4
445	0
446	5
447	5
448	5
449	5
451	5
453	5
454	4
456	4
459	3
460	1
461	0
462	1
464	5
467	0
468	0
469	4
470	5
472	2
473	4
474	4
478	5
480	4
483	5
488	2
491	4
493	5
497	5
498	3
500	3
501	5
503	4
505	5
506	2
507	3
509	3
510	3
513	1
514	2
516	5
523	4
524	0
525	4
527	3
528	2
529	5
530	4
531	2
532	4
533	1
535	1
536	2
537	5
538	1
539	1
540	2
544	5
545	1
546	5
550	4
556	5
569	3
571	2
572	3
573	1
577	2
579	4
581	4
582	5
583	5
584	0
585	0
587	5
588	4
589	0
590	4
591	3
594	0
597	1
598	4
599	2
600	3
602	1
607	5
608	1
611	2
617	4
623	1
626	1
627	3
628	3
629	4
630	4
631	4
635	3
640	1
642	4
643	4
648	4
649	2
651	1
653	5
657	3
659	3
660	0
661	4
663	4
667	1
669	3
670	2
671	1
672	0
675	5
676	4
679	4
680	0
684	3
686	0
690	5
691	4
694	4
699	3
700	3
701	5
703	3
705	5
706	2
708	2
710	5
712	1
716	2
717	4
718	0
719	5
722	3
723	1
731	5
732	3
733	0
734	4
739	1
740	5
743	5
744	2
747	0
748	2
753	5
754	2
755	0
756	2
757	1
760	4
761	3
764	3
767	0
768	2
769	4
772	2
773	3
774	0
775	2
776	0
781	0
783	0
784	3
786	1
787	3
791	3
795	3
796	3
800	3
801	0
803	5
804	5
808	2
809	3
812	2
817	1
818	5
819	4
820	0
827	5
829	5
831	4
833	1
834	2
835	5
837	4
840	3
842	0
843	2
847	1
848	2
850	2
851	3
852	0
853	3
856	0
857	5
858	5
859	0
860	3
861	5
862	2
863	2
864	1
866	0
869	4
872	0
873	1
874	4
880	4
883	4
885	3
886	5
888	5
890	2
892	0
893	2
898	4
899	2
900	0
905	3
907	4
909	3
910	1
911	3
912	1
914	0
915	0
916	2
921	3
922	4
924	4
925	4
926	5
927	5
928	1
930	3
931	5
932	5
933	5
934	4
935	0
937	0
938	1
940	1
943	5
944	4
946	3
947	5
948	2
952	4
953	2
954	1
955	1
957	0
961	3
963	0
965	1
966	1
967	1
968	0
969	5
970	2
976	5
978	3
981	0
984	3
985	4
988	5
990	1
992	0
994	1
995	2
997	1
998	4
1001	1
1002	5
1003	4
1007	5
1010	4
1011	0
1014	4
1017	5
1018	3
1024	0
1027	5
1031	1
1032	2
1035	3
1036	3
1038	4
1039	3
1042	1
1044	0
1047	2
1050	3
1052	1
1056	1
1057	1
1059	3
1061	5
1062	5
1063	1
1067	4
1071	5
1072	5
1076	1
1078	2
1079	1
1080	0
1081	5
1084	3
1087	5
1088	4
1089	2
1092	5
1094	5
1098	0
1101	4
1103	1
1108	2
1110	0
1112	5
1115	5
1116	1
1117	5
1119	1
1121	1
1122	3
1123	0
1124	3
1127	3
1128	5
1131	2
1134	4
1137	0
1143	3
1146	1
1147	3
1148	0
1149	2
1150	2
1152	5
1153	5
1156	4
1159	1
1160	2
1161	0
1162	0
1163	5
1165	5
1168	5
1169	1
